DateTime	Actor	Recipient	Behavior	Category	Duration	Point
08/07/2019 14:40	MUSE		Other	Other	106	NO
08/07/2019 14:42	MUSE		Resting	Affiliative	102	NO
08/07/2019 14:43	MUSE	PETOULETTE	Presenting	Affiliative	0	YES
08/07/2019 14:43	PETOULETTE	MUSE	Grooming	Affiliative	3	NO
08/07/2019 14:44	MUSE	FEYA	Resting	Affiliative	40	NO
08/07/2019 14:44	MUSE	NEKKE	Resting	Affiliative	40	NO
08/07/2019 14:44	MUSE		Other	Other	46	NO
08/07/2019 14:45	MUSE		Invisible	Other	1	NO
08/07/2019 14:45	MALI		Invisible	Other	300	NO
08/07/2019 14:50	BOBO	HARLEM	Resting	Affiliative	305	NO
08/07/2019 14:55	PETOULETTE		Invisible	Other	301	NO
08/07/2019 15:01	KALI		Resting	Affiliative	173	NO
08/07/2019 15:01	PIPO	KALI	Touching	Affiliative	0	YES
08/07/2019 15:03	KALI		Other	Other	126	NO
08/07/2019 15:04	KALI	ANGELE	Presenting	Affiliative	0	YES
08/07/2019 15:04	KALI	ANGELE	Grunting-Lipsmacking	Affiliative	0	YES
08/07/2019 15:06	VIOLETTE		Resting	Affiliative	52	NO
08/07/2019 15:07	VIOLETTE		Other	Other	87	NO
08/07/2019 15:07	HARLEM	VIOLETTE	Touching	Affiliative	0	YES
08/07/2019 15:08	VIOLETTE	MAKO	Resting	Affiliative	51	NO
08/07/2019 15:09	VIOLETTE		Other	Other	68	NO
08/07/2019 15:10	HARLEM	VIOLETTE	Touching	Affiliative	0	YES
08/07/2019 15:10	VIOLETTE		Invisible	Other	43	NO
08/07/2019 15:11	EWINE		Invisible	Other	292	NO
08/07/2019 15:16	FEYA		Invisible	Other	303	NO
08/07/2019 15:21	MAKO	MALI	Playing with	Affiliative	14	NO
08/07/2019 15:21	MAKO	MALI	Playing with	Affiliative	49	NO
08/07/2019 15:21	MAKO	MUSE	Playing with	Affiliative	49	NO
08/07/2019 15:21	MAKO	NEKKE	Playing with	Affiliative	49	NO
08/07/2019 15:21	MAKO	LOME	Playing with	Affiliative	49	NO
08/07/2019 15:22	MAKO		Invisible	Other	4	NO
08/07/2019 15:22	MAKO	MALI	Playing with	Affiliative	13	NO
08/07/2019 15:22	MAKO	NEKKE	Playing with	Affiliative	13	NO
08/07/2019 15:22	MAKO	LOME	Playing with	Affiliative	13	NO
08/07/2019 15:23	MAKO		Resting	Affiliative	22	NO
08/07/2019 15:23	MAKO		Other	Other	6	NO
08/07/2019 15:23	MAKO		Invisible	Other	4	NO
08/07/2019 15:23	MAKO	LOME	Playing with	Affiliative	5	NO
08/07/2019 15:23	MAKO	LOME	Playing with	Affiliative	11	NO
08/07/2019 15:23	MAKO	MALI	Playing with	Affiliative	11	NO
08/07/2019 15:23	MAKO		Other	Other	11	NO
08/07/2019 15:24	MAKO	MALI	Playing with	Affiliative	5	NO
08/07/2019 15:24	MAKO	MUSE	Playing with	Affiliative	51	NO
08/07/2019 15:24	MAKO	MALI	Playing with	Affiliative	51	NO
08/07/2019 15:24	MAKO	NEKKE	Playing with	Affiliative	51	NO
08/07/2019 15:25	MAKO	MALI	Playing with	Affiliative	23	NO
